term_clean,description
보호예탁금제도,"보험사업자가 그 영업개시전에 보험계약자의 보호를 위해 금융감독원에 예탁해야 하는 금액을 말한다. 금융감독원에 예탁하여야 할 보호예탁금은 납입자본금 또는 기금의 100분의 30이상 100분의 50이하의 범위안에서 금융감독위원회가 정하는 비율에 해당하는 금액으로 하며, 이를 현금 또는 금융감독원장이 정하는 유가증권으로 예탁하여야 한다. 다만, 외국보험사업자의 국내지점은 예탁하여야 할 금액의 100분의 50의 범위안에서 본국통화 또는 금융감독원장이 정하는 본국통화표시 유가증권으로 예탁할 수 있다. 금융감독원은 보험사업자가 책임준비금 등을 충실히 적립하고 이익금이 발생하게 된 때, 보험사업자의 해산, 사업폐지 및 기타 보험계약자의 보호를 위하여 반환이 필요하다고 인정하는 때에는 당해 보험사업자의 청구에 의해 보호예탁금을 반환한다."
복구기간,보험금 지급대상이 되는 기간으로 보험목적이 손해를 입은 때로부터 지체없이 이를 복구할 때까지 필요한 기간을 말합니다. 또한 법령의 규제 등 부득이한 사유로 인하여 보험목적을 복구하지 않을 경우에는 추정복구기간을 복구기간으로 인정합니다. 그러나 어떠한 경우에도 복구 기간은 추정복구기간이나 약정복구기간을 초과할 수 없습니다.
복리,투자원금과 그 이자에 대한 이자까지 고려하여 계산하는 계산방법
복합레진,구강 충전 혹은 수복 재료로 사용되는 치과용 플라스틱 레진(수지)
부가보험료,"보험료를 구성하는 일부 금액으로 보험사업을 운영하는데 있어 필요한 비용을 부가보험료라 하며, 신계약비, 유지비, 집금비(수금비)로 구성되어 있다."
부과식보험,"보험의 기술적 기초가 확립되기 전(18세기 이전)에는 미리 합리적인 보험료를 확정하지 못하였다. 미리 정액의 보험료를 납입하는 대신에 일정기간 경과 후, 그 기간내에 발생한 보험사고에 따라 가입자들로부터 필요한 금액을 보험료로 징수하는 방법을 취하고 있었는데, 이런 방법으로 운영되는 보험을 부과식보험이라고 한다.
보험의 기술적 기초가 확립되기 전(18세기 이전)에는 미리 합리적인 보험료를 확정하지 못하였다. 미리 정액의 보험료를 납입하는 대신에 일정기간 경과 후, 그 기간내에 발생한 보험사고에 따라 필요한 금액을 보험료로 가맹원으로부터 징수하는 방법을 취하고 있었는데, 이런방법으로 보험을 시행하는 보험을 부과식보험이라고 한다."
부담금,"계약자 또는 가입자가 납입하는 금액으로 확정급여형은 표준부담금, 보충부담금, 특별부담금으로 구성되고, 확정기여형은 기본부담금, 추가부담금으로 구성"
부보대수,일정 시점 기준 유효한 계약 건수(보유계약건수)
부분품,"엔진, 변속기(트랜스미션) 등 자동차가 공장에서 출고될 때 원형 그대로 부착되어 자동차의 조성부분이 되는 재료"
부속기계장치,"의료방역차, 검사측정차, 전원차, 방송중계차 등 자동차등록증상 그 용도가 특정한 자동차에 정차되거나 장비되어 있는 정밀기계장치"
부속품,"자동차에 정착 도는 장비되어 있는 물품을 말하며, 자동차 실내에서만 사용하는 것을 목적으로 해서 자동차에 고정되어 있는 내비게이션이나 고속도로통행료단말기를 포함. 다만 다음의 물품을 제외 ① 연료, 보디커버, 세차용품 ② 법령에 의해 자동차에 정착하거나 장비하는 것이 금지되어 있는 물건 ③ 통상 장식품으로 보는 물건 ④ 부속기계장치"
분납,적용보험료를 납입하는 것을 분할하여 납입하기로 약정하는 것을 말함
불가쟁기간,"보험계약에서 고지의무 위반이 있었을 경우, 보험자는 그 보험계약을 해지 할 수가 있다. 그러나 보험계약이 일정기간 유효하게 계속된 뒤에는 고지의무 위반의 사실이 있더라도 보험사고 발생률에 영향을 미치는 일이 없다고 생각되기 때문에 보험자의 해지권을 소멸시키는 일이 있다. 이 일정기간 경과 후 보험계약의 효력을 다툴 수는 없다는 의미로 불가쟁기간이라고 한다.
보험계약에서 고지의무 위반이 있었을 경우, 보험자는 그 보험계약을 해지할 수가 있다. 그러나 보험계약이 일정기간 유효하게 계속된 뒤에는 고지의무 위반의 사실이 있더라도 보험사고 발생률에 영향을 미치는 일이 없다고 생각되기 때문에 보험자의 해지권을 소멸시키는 일이 있다. 이 일정기간 경과 후 보험계약의 효력을 다룰 수 없다는 의미로 불가쟁기간이라고 한다."
불가쟁조항,"보험계약자 또는 피보험자(보험대상자)가 고지의무를 위반하였을 경우, 보험자는 그 계약을 해지할 수가 있다. 그러나 계약성립의 날로부터 일정기간 유효하게 계속된 계약에 대해서는 그 이후에는 고지의무위반을 이유로 해지권을 행사해서 다툴 수는 없다고 하는 조항이다.
보험계약자 또는 피보험자가 고지의무를 위반하였을 경우, 보험자는 그 계약을 해지할 수가 있다. 그러나 계약성립의 날로부터 일정기간 유효하게 계속된 계약에 대해서는 그 이후에는 고지의무위반을 이유로 해지권을 행사해서 다툴 수는 없다고 하는 조항이다."
불완전 계약,"계약체결 과정에서 고의든, 실수든 설명을 누락하거나, 사실과 다르게 설명 또는 고지하거나, 계약자가 제시했던 조건이 아닌 조건으로 보험료를 산출하여 체결하는 계약"
불확정성,"불확정성이라는 것은 결과가 확실해서는 안된다는 것, 우리가 보통 위험이 존재한다고 이야기할 때는 결과치가 최소한 두개 이상이 있을 수 있어야 한다."
블루링크/유보장치,"차량정보 자동 송·수신, 원격 고장진단, 사고 자동통보, 원격문열림 서비스 등을 제공하는 현대, 기아차의 최첨단 텔레매틱스 서비스"
비례보상,손해보험계약에서 분손사고의 경우 보험자가 보험금액의 보험가액에 대한 비율을 가지고 손해를 보상하는 것을 말한다.
비보험전가,위험발생으로 인한 금전적 손해를 일방이 상대방으로 계약을 통하여 이전하는 것을 말하며 보험 이외의 방법을 이용한다.
비영리보험,"보험사업을 경영하는 근본동기가 이윤의 획득을 목적으로 하지 않는 보험. 공동경제적 보험이라고도 한다. 비영리보험의 경영형태로는 국민보험, 조합보험 등이 있다
보험사업을 경영하는 근본동기가 이윤의 획득을 목적으로 하지 않는 보험을 의미하며, 공동경제적 보험이라고도 한다. 비영리보험의 경영형태로는 국민보험·조합보험 등이 있다.
보험사업을 경영하는 근본동기가 이윤의 획득을 목적으로 하지 않는 보험. 공동경제적 보험이라고도 한다. 비영리보험의 경영형태로는 국민보험˙조합보험 등이 있다."
비차손익,"생각보다 사업비가 적게 지출되었다면 남는 돈이 생겨 이것이 비차익, 사업비가 많이 지출되면 비차손이 발생함
실제의 사업비와 예정사업비를 대비한 결과 드러난 과부족을 말한다. 실제의 비용이 예정비용을 초과하는 경우에는 그 차액이 비차손이 되고, 반대로 실제의 비용이 예정비용에 미달하는 경우에는 그 차액이 비차익이 된다."
비차익,예정사업비율이 실제사업비율보다 높은 경우
사고,"급격하게 발생하는 것을 포함하여 위험이 서서히, 계속적, 반복적 또는 누적적으로 노출되어 그 결과로 발생한 신체장해나 재물손해를 말합니다."
사고부담금,"피보험자가 음주운전 또는 무면허운전으로 인한 사고의 경우 피보험자가 부담하여야 하는 금액 ① 음주운전: 1사고당 대인배상I,II 300만원, 대물배상 100만원 ② 무면허운전: 1사고당 대인배상I 300만원, 대물배상 100만원"
사망률,"어느 특정한 집단의 구성원이 어느 기간내에 사망하는 비율을 말한다.
사망률이라는 것은 어떤 특정한 집단의 구성원이 일정기간(보통 1년)내에 사망하는 비율을 의미한다."
사업용자동차,"택시, 렌터카 등 영업용 자동차. 노란색 바탕의 자동차 번호판 부착"
사용피보험자,"기명피보험자의 사용자 또는 계약에 따라 기명피보험자의 사용자에 준하는 지위를 얻은 자. 다만, 기명피보험자가 피보험자동차를 사용자의 업무에 사용하고 있는 때에 한함."
사이드에어백,"측면 에어백, 운전석, 조수석 및 뒷좌석의 옆에 장착된 에어백"
사절체,"정상피보험체인 표준체에 비하여 보험사고의 발생위험 정도가 너무 높거나 위험 정도의 평가가 불가능하여 보험계약이 성립될 수 없는 가입부적격자(피보험자)를 말하며, 사절체라고도 한다.
보험가입부적격자"
산재보험,장해를 보장한다.
상급병실료차액,실제 사용병실과 기준병실과의 병실차액
상품설명서,"보험계약의 권유시 고객에게 필수 안내해야 하는 설명서로 협회의 손해보험상품공시자료작성지침을 따라 작성됨 (근거법령: 보험업법 제95조의2 제1항 및 제2항, 동법 시행법 제42조의 2 제1항, 동법 감독규정 제4-35조의2, 제7-45조, 동법 시행세칙 제5-11조)"
상해,"급격하고도 우연한 외래의 사고로 신체(의수, 의족, 의안, 의치 등 신체보조장구는 제외하나, 인공장기나 부분 의치 등 신체에 이식되어 그 기능을 대신할 경우는 포함)에 입은 손해를 말합니다."
상해등급,자동차손해배상 보장법 시행령에서 정한 상해의 구분과 보험금 등을 정한 등급
상해보험,"피보험자가 우연한 외부적인 사고로 인해 신체상의 상해를 입어 그 결과 사망 또는 불구 등이 되거나 치료를 받아야 할 경우 사망보험금, 장해보험금, 치료비 등을 지급하는 보험을 말한다. 사망보험금은 보험가입금액 전액, 장해보험금은 장해 정도에 따라 보험가입금액의 일정비율로, 치료비는 따로 정한 보험가입금액을 한도로 실비가 지급된다."
상호조합,"지역, 직업 등이 유사한, 한정된 범위내의 사람들을 구성원으로 하여 조합원 서로간의 보험을 실시하는 조직으로 보험사업에만 있는 소규모의 조직이다."
생명표,"생명표는 각 연령에 있어서의 생존자수와 사망자수뿐만 아니라 생존율, 사망률, 평균여명 등을 나타내는 표이다.
어느 집단의 생사에 관한 사항을 생명함수에 의하여 계량적으로 표시한 것으로서 사망표라고 한다. 이는 대수의 법칙을 기초로 하여 연령별 생사잔존상태를 나타내는 방법을 쓴다."
선루프,내부 환기와 탁 트인 개방감 등 쾌적한 운전에 도움을 주기 위해 자동차 지붕에 설치하는 보조 창틀
선임계리사,보험계리에 관한 업무를 최종적으로 검증하고 확인하는 자를 말한다.
선택의유효기간,선택효과
센티멘탈데미지,"일부분이 손상을 입었을 뿐인데도 전량에 대해서 손해를 청구하거나 현재의 손상이 확인되지 않았는데도 손상이 발생됐을 지도 모른다는 상상만으로 청구하는 등, 실체에 기초하지 않고 감정적으로 제기하는 손해를 말한다. 이것은 보험자로부터 보상받을 수 없다."
소급보험,"보험기간은 보험계약 체결 후에 개시되는 것이 보통이지만, 보험기간의 개시시점을 보험계약 체결시보다 이전의 시점으로 소급시키는 보험을 말한다."
소멸,"보험계약이 보험기간의 만료, 보험기간 중의 피보험자 사망 또는 폐질, 해약 등으로 그 효력이 영구히 없어지는 것"
소멸시효,"권리자가 그 권리를 일정기간 행사하지 않는 경우 그 권리가 소멸되는 시효기간을 말한다. 소멸시효는 일정한 상태의 계속으로 권리를 취득하게 되는 취득시효(取得時效)와 대립되며, 권리불행사의 계속을 요건으로 하지 않는 제척기간(除斥期間)과 구별된다. 소유권 이외 재산권은 모두 소멸시효에 걸린다. 보험의 경우 보험금의 청구권 소멸시효는 2년이다."
"소유,사용,관리",자동차손해배상보장법 상의 운행의 개념과 동일
손실,적어도 두 개 이상의 결과에 대하여 하나는 바람직하지 않아야(undesirable)한다.
손인,손인이랑 손실의 원인이다.
손해방지비용,"손해방지의무를 이행하는데 있어서 필요 또는 유익하였던 비용. 여기서 필요 또는 유익이란 손해방지행위를 하는 시점에서 필요하다고 객관적으로 판단되는 한 반드시 결과적으로 유익하였다는 것을 요건으로 하지는 않음.
손해방지 의무를 이행함에 있어 보험계약자 또는 피보험자가 지출한 필요 또는 유익한 비용. 상법에서는 보험계약자와 피보험자에게 손해방지 의무를 지우는 동시에, 그것에 소요되는 필요 또는 유익한 비용은 손해보험금과의 합계액이 보험금액을 초과하는 경우에도 보험자가 부담하도록 정하고 있다. 이 규정은 강행규정이 아니므로 실제의 취급은 보험약관에 따라 다르다."
손해방지의무,"손해보험에서 보험의 목적에 보험사고가 발생하였을 경우, 보험계약자 또는 피보험자는 손해의 방지˙경감을 위해서 노력하지 않으면 안 된다. 이것을 손해방지의무라고 한다. 이 의무는 보험계약의 근본이 되는 최대 선의의 원칙과 나아가 사회적인 공익보호의 요청에 의거하여 인정되는 것이다."
손해보험료,"손해보험계약에서 보험자가 보험계약상의 책임을 부담하는데 대하여, 보험계약자가 보험자에게 지급하는 대가. 통산 보험금액에 보험요율을 곱해서 산출된다. 손해보험요율은 일반적으로 순보험료와 부가보험료로 구성되어 있지만, 장기보험의 경우에는 그밖에 만기환급금에 충당되는 적립보험료가 추가된다."
손해보험모집,"보험계약자의 권익을 보호하고, 보험사업의 건전한 발전을 도모할 것을 목적으로 하는 규정이다. 이 규정에서는 보험모집인의 등록요건, 보험대리점의 허가기준과 모집질서 유지 및 보험계약의 관리 등 손보사의 보험모집조직과 그 운영 및 관리에 관한 전반적인 사항을 정하고 있다."
손해보험요율,"하나 하나의 손해보험계약의 보험료를 산출하는데 척도가 되는 것으로, 일반적으로 보험금액 한 단위에 대한 보험료의 비율을 나타낸다. 보험요율은 보험의 종류와 위험의 정도 등에 따라서 정해진다. 보험료 및 책임준비금산출 방법서는 기초서류의 하나로서 재정경제원장관의 인가를 받아야 한다.
하나 하나의 손해보험계약의 보험료를 산출하는데 척도가 되는 것으로, 일반적으로 보험금액 한 단위에 대한 보험료의 비율을 나타낸다. 보험요율은 보험의 종류와 위험의 정도 등에 따라서 정해진다."
손해율,"보험료에 대한 보험금의 비율을 말하며, 경영분석, 보험요율의 산출 등에 있어서 사용된다. 보험료 또는 보험금의 계산방법에 따라 여러 가지로 달라지지만, 통상 순수보험금에 손해조사비를 더한 액수의 보험료에 대한 비율이 쓰여진다."
수리비용,"수리비와 열처리도장료의 합계액을 말하며, 그 합계액은 피해물의 사고 직전 가액의 120%를 한도로 함."
순보험료율,보험금액에 대한 순보험료의 비율을 의미한다.
순보험요율,보험금액에 대한 순보험료의 비율.
순수위험,손실의 가능성(chance of loss)이나 현상유지의 가능성(chance of no loss)만 있을 때 존재한다.
승낙피보험자,기명피보험자의 승낙을 얻어 피보험자동차를 사용하거나 관리하고 있는 자
승용차요일제 특약,평일중 하루(비운행 약정요일)을 운행하지 않기로 약정하고 이를 준수한 경우 보험만기시 보험료 일부를 환급해주는 특약
신계약,"일반적으로 새로 체결된 보험계약을 의미하며, 통계상으로는 월·년 단위의 일정한 기간을 기준으로 하여 그 기간 중에 새로 체결된 계약을 의미하기도 한다."
신체장애,"신체(의수, 의족, 의안, 의치 등 신체보조장구는 제외하나, 인공장기나 부분 의치 등 신체에 이식되어 그 기능을 대신할 경우는 포함)의 상해, 질병 및 그로 인한 사망을 말합니다."
실손보상,"비례보상과 대비되는 손해보상 방식으로, 보험자가 보험금액을 한도로 하여 실제의 손해액을 보상하는 것을 말한다. 이것은 주로 일반 손해보험에서 사용되는 개념이다.
비례보상과 대비되는 손해보상방식으로, 보험자가 보험금액을 한 도로 하여, 실제의 손해액을 보상하는 것을 말한다."
실손의료비,"보험에서 실손의료비란 약관에 명시한 보상하는 질병이나 상해로 인해 의료기관에서 치료를 받은 후, 실제로 환자가 부담한 치료비용으로 국민건강보험법이나 의료급여법에 의거한 급여 본인부담금액과 비급여 금액을 합한 금액."
실효,효력상실
아이 오 피,손해율의 여하를 불문하고 보상하는 뜻을 표현한 문언으로서 면책률에 상대되는 용어이다.
알바트로스,각 홀의 기준 타수보다 3타가 적은 타수로 볼이 홀에 들어가는 것을 말합니다.
약식기소,"검사가 지방법원의 관할사건에 대하여 보통의 심판절차인 공판절차를 거치지 아니하고 피고인에게 벌금, 구류 또는 몰수의 형을 과하는 것이 타당하다고 판단하여 약식명령 공소장에 의하여 기소하는 것"
약정복구기간,계약당시 보험가입증서(보험증권)에 기재된 복구기간
양로보험,"피보험자(보험대상자)가 계약성립 후 일정한 연령에 도달하기 전에 사망한 경우뿐만 아니라, 일정 연령까지 생존한 경우에도 약정된 보험금을 지급하는 보험이다."
양부모,양자(입양에 의하여 자식의 자격을 얻은 사람)로 들어간 집의 부모
양자녀,혈연관계가 없음에도 법률에 따라 친생자와 같이 보는 친자
억류상태,① 신체적으로 직접 구속하여 장소적으로 일정한 구획 밖으로 나가지 못하게 하는 것 ② 기망 또는 유혹의 수단이 나 폭행 또는 협박을 수단으로 하여 현재 보호되고 있는 상태에서 벗어나게 하여 자기 또는 제3자의 지배아래 옮겨두는 것.
언더라이팅,→위험의 선택
언드 인커드 베이시스,"손해율 산출의 한 방법으로 어느 일정기간에 있어서 기경과보험료에 대한 동일기간내의 발생보험금의 비율로서 구하는 방식을 말한다. 리튼 페이드 베이시스(written paid b\\asis)에 대비된 방법이며 구미에서는, 간단히 손해율이라고 하면 언드 인커드 베이시스의 손해율을 가리키는 것이 많다.→리튼 페이트 베이시스"
에어백,사고 발생시 보호장치가 기폭되어 운전자 및 승객을 보호하는 장치
연납보험,보험료의 납입이 연1회인 경우의 보험.
연장보험,→연장정기보험
연증법,"표준미달체 계약을 취급하는 방법의 한가지이다. 피보험자의 위험의 정도에 맞추어서 실제의 연령에 일정 연령을 더한 연령을 가지고 계약 연령으로 하여, 이 연령의 보험료를 징수하는 방법이다. 이 방법은 고객에게 나쁜 인상을 주는 등의 결함으로 인하여 현재는 별로 사용되지 않는다.
표준미달체계약을 다루는 방법의 한 가지이다. 피보험자의 위험의 정도에 맞추어서 실제의 연령에 일정 연령을 더한 연령을 가지고 계약연령으로 하여, 이 연령의 보험료를 징수하는 방법. 이 방법은 고객에게 나쁜 인상을 주는 등의 결함으로 현재는 별로 사용되지 않는다."
영상기록장치,"자동차용 영상 사고기록장치로, 자동차 충돌 전후의 상황을 기록해 사고 정황 파악에 필요한 정보를 제공"
영업용자동차보험,모든 사업용(영업용)자동차를 대상으로 하는 자동차보험.
예금보험제도,"금융 기관이 영업 정지나 파산 따위로 고객의 예금을 지급하지 못하게 되는 것을 방지하기 위하여 예금자 보호법을 제정하여 고객의 예금을 보호하는 제도. 예금 보험 공사가 금융 기관으로부터 보험료를 받아 기금을 적립한 후, 금융 기관이 예금을 지급할 수 없게 되면 금융 기관 대신 예금을 지급"
예상사망율,부담금계산의 기초에 적용된 특정생명표상 연령별 사망율의 수열을 말함.
예상이율,일정한 수익률을 예측하여 그만큼 부담금을 할인하는 것으로 할인에 적용하는 비율을 말함.
예정기초율,"예정위험률과 예정이율, 예정사업비율 등 보험료 계산의 기초가 되는 3가지 구성요소를 말한다."
예정사망률,보험료계산의 기초에 적용된 특정생명표의 연령별사망율의 수열이며 기초사망율이라고도 한다. 이 예 정사망율은 실제로 발생할 사망율을 정확하게 예측하여야 하나 이는 대단히 어려워 과거의 사망율에 다소의 안정성을 예견하여 예정사망율을 나타내고 있다.
예정손해율,"손해보험에서 예정사업비율 및 예정이율과 함께 보험요율을 구성하는 한 요소이며, 보험료중 보험금으로 지급될 것으로 예측되는 부분의 비율을 말한다. 이미 사용되고 있는 보험료율을 실적손해율에 따라서 개정할 경우에 사용된다.
예정사업비율 및 예정이율과 함께 보험요율을 구성하는 한 요소이며, 보험료중 보험금으로 지급될 것으로 예측되는 부분의 비율을 말한다. 이미 사용되고 있는 보험요율을 실적손해율에 따라서 개정할 경우(이것을 손해율법이라고 한다)에 사용된다.→순보험료"
예정위험률,한 개인이 사망하거나 질병에 걸리는 등의 일정한 보험사고가 발생할 수 있는 확률을 대수의 법칙에 의해 예측한 것을 예정위험률이라고 합니다. 일반적으로 예정위험률이 높으면 보험료가 높아지고 낮아지면 보험료가 낮아집니다.
예측단위적립방식,"가입자별 장래 급여를 각 근무기간에 대응하는 ‘단위’로 분할, 할당하고, 그 단위에 해당하는 금액을 각 근무기간 중에 부담금으로 납입하여 장래 급여지급의 재원으로 적립하는 방식"
완전판매 e모니터링,홈페이지 및 모바일 기기를 통하여 고객이 직접 완전판매 여부를 확인하는 모니터링
완전판매 모니터링,완전판매 이행 여부를 확인하기 위하여 신계약 전산입력 이후에 계약자 또는 피보험자에게 완전판매와 관련된 사항을 유선 및 기타 수단을 통하여 확인하는 절차.
외래수술비,"통원치료 중 발생한 수술료, 마취료, 수술재료비 등을 말함"
요율조정계수,"각 적용단위별 순보험료를 기명피보험자(이하 “피보험자”라 한다)의 성ㆍ연령, 운전자 한정운전 특약, 운전자연령 한정운전 특약, 운전가능자 특성요율, 법인성격요율 등의 조합별 단위로 결정ㆍ적용하는 계수를 말한다."
우량물건,"계약인수여부를 판단하는 언더라이팅과정에서 언더라이터가 볼 때 손해발생률이 낮을 것으로 생각되는 물건을 말하며 이에 반대되는 용어가 불량물건(bad risk)이다. 우량인지 불량인지의 판단은 다분히 언더라이터의 주관에 의존할 수밖에 없으나, 해당 물건의 과거 수년간의 손해율˙부보조건 및 요율과 보험계약자측의 해당물건에 대한 위험관리체제 등을 보아 종합적으로 판단하게 된다."
우량할인 및 불량할증,과거 사고발생실적 따라 갱신보험료를 할인하거나 할증하는 제도. 이 제도는 위험도에 따른 보험계약자간의 차별없는 보험료 산정원칙 추구와 자동차 사고발생을 사전 방지하는 데도 그 목적을 두고 있음
운전자 연령 한정특약,"자동차보험에 있어서 운전자의 연령을 한정하여, 사고발생률이 높은 연소한 운전자를 제외해서 위험을 축소시킴으로써 보험료 부담의 경감을 도모하는 방식. 이 특약은 손해율 개선 및 교통사고 예방에 상당한 효과가 있다."
운전자 중심 요율제도,"자동차보험료의 할인˙할증을 차량 중심이 아닌 운전자 중심으로 하는 제도로서, 우리나라에선 1990년 4월 1일부터 시행되었다. →자동차보험의 우량할인 및 불량할증제도 →자동차보험의 사고기록 점수제도"
운전자가족 한정운전특약,"보험증권에 기재된 자동차 운전자의 범위를 기명피보험자와 그 가족으로 한정하는 특약. 한정운전자 이외의 자가 운전하는 사이에 생긴 사고는 보상하지 아니한다. 가족이란 ①기명 피보험자의 부모와 양부모 ②법률상의 배우자 또는 사실혼 관계에 있는 배우자 ③기명 피보험자의 배우자와 동거하는 부모 또는 양부모 ④법률상의 혼인관계에서 출생한 자녀, 사실혼 관계에서 출생한 자녀, 양자 또는 양녀 및 며느리를 말함."
운전자연령한정특약,피보험자동차를 운전할 자의 연령범위를 한정하는 특별약관
운전피보험자,"다른 피보험자(기명피보험자, 친족피보험자, 승낙피보험자, 사용피보험자를 말함)를 위하여 피보험자동차를 운전 중인 자(운전보조자를 포함)"
원계약,계약분리의 대상이 되는 계약으로 2인 이상의 피보험자가 가입되어 있는 유효한 계약을 말합니다.
원리금보장상품,원금과 약정한 이자를 보장해주는 상품.
위자료,"정신적인 고통에 대해서 보상하는 손해배상을 말한다. 배상의 규정은 민법에서 정하고 있다. 위자료는 그 성격상 일정한 산출방법이란 있을 수 없어서, 결국 법관의 합리적 판단에 맡겨질 수밖에는 없으나, 일반적으로는 피해자의 고통, 연령, 배우자의 유무, 직업, 사회적 지위, 그밖에 가해자의 사고에 대한 경위, 사고 후의 대응 등 일체의 사정이 감안된다."
위태,위태란 손실의 기회를 창출하거나 증가시키는 조건 및 상태를 의미한다.
위험,위험은 손실의 가능성(chance of loss)이다.
위험률,위험발생률 또는 위험도라고도 한다. 어떤 특정한 위험이 어떤 기간 내에 발생하는 비율을 말한다. 이를테면 30세 남자의 사망률이 0.00103이라고 하는 경우에는 30세의 남자가 31세가 될 때까지의 1년간에 사망하는 위험률이 10만명당 103명이라는 것을 의미한다.
위험보험료,"보험가입자가 중도에서 사망한 때에 지급하는 사망보험금의 재원이 되는 부분을 말한다.
보험사고 발생시 보험금 지급의 재원이 되는 보험료를 말한다. 즉, 보험가입자가 보험기간 중도에 사고를 당하여 사망하거나 또는 장해를 입었을 경우에 지급하는 사고보험금의 재원이 되는 부분으로 예정위험률에 따라 정해진다."
위험사고,손해보험에서 위험사고란 보험사고와 거의 동일한 개념으로 사용하고 있으나 많은 경우에 이미 발생한 사고를 보험사고라고도 하며 아직 발생하지 않은 발생 가능한 사고를 위험사고라고 말하기도 한다.
위험율차익,"실제사망률이 예정사망률보다 낮은 경우에 생기는 이익 또는 반대의 경우 손해로, (예정위험률 - 실제위험률)×위험보험금 = 위험보험료총액 - 실제사망의 위험보험금 총액의 식으로 위험률차익(손)을 표현할 수 있다. 통상 경과년수가 적은 계약에서는 위험선택의 효과가 있고 실제사망률이 예정사망률보다 낮기 때문에 위험률차익이 많지만 경과년수가 증가함에 따라 선택효과가 희박해져 위험률차"
위험의 분산,"위험의 집중에 대립되는 개념으로, 보험사업에 있어서 대수의 법칙에 의한 확률의 편차를 될 수 있는 대로 줄이기 위해서는 다수의 동질의 위험을 인수하는 것이 바람직하지만, 거기에는 일정한 한계가 있으므로 타사로부터 재보험을 인수함으로써 실질적인 건수의 증가를 꾀할 수 있다. 또한 자사의 보험계약을 교환적으로 출재하는 경우도 있다. 이렇듯 동질의 위험에 관련이 있는 보험계약을 될 수 있는 한 많이 인수하거나 재보험 거래를 통해서 같은 사례가 조성됨으로써, 동질의 위험으로 구성된 커다란 위험집단이 형성되어 위험의 분산이 이루어질 수 있다."
유동성,자산이나 채권을 형편에 따라 손실 없이 화폐로 바꾸거나 회수할 수 있는 성질을 말한다.
유지율,보험계약이 체결된 후 그 계약이 유효하게 계속되고 있는 비율. 일반적으로 계속되고 있는 비율. 일반적으로 신계약의 보험금액을 기준으로 보험료의 납입회차별 납입된 계약의 비율(%)로 표시된다.
음주운전,『도로교통법』에 정한 술에 취한 상태에서 운전(조종)하거나 음주 측정에 불응하는 행위 ※ 술에 위한 상태 : 혈중알콜농도 0.05% 이상(도로교통법 제44조 제4항)
이득금지의 원칙,"손해보험은 손해의 보상을 목적으로 하고 있는 바, 피보험자는 손해보험에 의해서 그가 입은 손해의 보상을 받되, 그 이상의 것을 받아서는 안 된다. 보험에 가입해 있던 사유로 피보험자가 사고발생 직전의 경제상태보다도 좋은 상태가 된다면, 보험 때문에 사고가 유발되기도 할 것이다. 따라서 손해보험 에서는 이득 금지의 원칙을 적용하고 있다.
손해보험은 손해본 만큼에 대해 보상하는 보험으로, 피보험자는 사고발생시 손해의 보상을 받되, 그 이상의 것을 받아서는 안된다는 원칙을 말한다. 보험에 가입해 있던 피보험자가 사고발생 직전의 경제상태 보다도 좋은 상태가 된다면, 보험 때문에 고의적인 사고가 발생할 수 도 있을 것이다. 따라서 손해보험에서는 이득금지의 원칙을 적용하고 있다."
이륜자동차보험,이륜자동차 및 원동기장치자전거가 가입대상인 자동차보험
이모빌라이져,이모빌라이져는 시동의 인증이 되는 키만 시동이 걸리게 하는 장치
이재차손익,한 개인이 사망하거나 질병에 걸리는 등의 일정한 보험사고가 발생할 수 있는 예측한 예정위험률을 높게 책정했을경우 이윤이 발생하고 낮게 책정했을경우 손실이 발생되는 부분이 이재차 손익이라한다.
이차손익,"자산운용의 실제의 이율이 예정이율과 다르게 됨으로써 생기는 손익을 말한다. 실제의 이율이 예정이율을 웃돌면 이차익, 반대는 이익손이 된다. 대개 예정이율은 안전을 내다보고 낮게 설정되어 있기 때문에 이차손이 생기는 일이 거의 없다."
인적순수위험,소득상실의 위험 인위위험(speculative risk) 인위위험은 손실의 가능성(chance of loss)뿐만 아니라 이득의 가능성(chance of gain)도 있는 경우에 존재한다.
일반사망,"질병이나 노쇠 즉, 신체상의 결함으로 인하여 사망하는 자연사를 말한다."
일부보험,보험금액이 보험가액보다 적을 경우를 말한다. 손해가 발생하였을 때에는 보험자는 보험금액의 보험가액에 대한 비율로 손해를 보상한다. → 비례보상
일시납,보험계약 체결과 동시 보험료를 일시에 납입하는 방법 입니다.
일시납 양로보험,사망이나 만기시 동액의 보험금을 받을 수 있는 양로보험으로 계약체결시에 보험기간에 대한 보험료를 일시에 납입하도록 한 것으로 일시납이므로 계약유지에 비용이 거의 필요치 않으므로 보험료는 저렴한 편이다.
일시납보험료,"보험계약 체결시에 보험기간(보장기간)에 대한 보험료를 한꺼번에 전액 납입한 경우, 이 보험료를 일시납보험료라 한다. 일시납이므로 수금비용이 거의 필요치 않아 보험료는 다소 할인된다."
일할계산,1년간 적용할 보험료를 1일 보험료로 전환하여 해당 보험기간 일수 만큼 곱하는 계산방식.
임의보험,"의무보험 이외 자기신체사고, 자기차량손해 등 보험계약자가 선택 가입할 수 있는 보장종목"
