일련번호,단어명,설명세부내용,쉬운용어단어명
220,희귀의약품,다음 어느 하나에 해당하는 의약품으로서 식품의약품안전처장의 지정을 받은 의약품  - 「희귀질환관리법」제2조제1호에 따른 희귀질환을 진단하거나 치료하기 위한 목적으로 사용되는 의약품  - 적용 대상이 드문 의약품으로서 대체 가능한 의약품이 없거나 대체 가능한 의약품보다 현저히 안전성 또는 유효성이 개선된 의약품※ 출처:「약사법」제2조제18호,
221,선별집중심사,"진료비의 급격한 증가, 사회적 이슈가 되는 항목 등 진료경향 개선이 필요한 항목을 선정, 사전예고 후 집중적으로 관리하는 사전 예방적 심사로 국민에게 꼭 필요한 진료는 보장하고 불필요한 진료비 지출을 사전에 방지하는 것을 목적으로 함※ 출처: 건강보험심사평가원 기능과 역할",
222,낮병동 입원료,"지역응급의료기관, 응급의료시설, 응급의료기관이 아닌 종합병원 응급실·수술실 등에서 처치·수술 등을 받고 연속하여 6시간 이상 관찰 후 당일 귀가 또는 이송한 경우 청구하는 요양급여비용 ※ 출처: 보건복지부 고시 제2015-241호(행위)",
223,밤병동 입원료,정신의학적 재활치료에 유용한 밤병동(night hospital)은 회복중이거나 또는 경한 만성적 증상을 가진 환자가 사회생활을 하면서 이용하는 병원으로 낮병동 입원료로 준용하여 청구하는 요양급여비용 ※ 출처: 보건복지부 고시 제2023-56호(행위),
224,재진환자,해당 상병으로 동일 의료기관의 동일 진료과목 의사에게 계속해서 진료받고 있는 환자. 완치 여부가 불분명하여 치료의 종결 여부가 명확하지 아니한 경우 90일 이내에 내원시 재진환자로 봄※ 출처: 건강보험요양급여비용 제2부 제1장 기본진료료,
225,초진환자,"해당 상병으로 동일 의료기관의 동일 진료과목 의사에게 진료받은 경험이 없는 환자. 해당 상병의 치료가 종결*된 후 동일 상병이 재발하여 진료를 받기 위해서 내원한 경우 초진환자로 봄. 다만, 치료 종결 후 30일 이내에 내원한 경우에는 재진환자로 봄.   *치료의 종결: 해당 상병의 치료를 위한 내원이 종결되었거나 투약이 종결되었을 때 ※ 출처: 건강보험요양급여비용 제2부 제1장 기본진료료",
226,회송,요양급여를 의뢰받은 요양기관이 가입자 등의 상태가 호전되었으나 지속적 치료 및 관리가 필요한 경우 요양급여를 의뢰한 요양기관이나 1단계 요양급여를 담당하는 요양기관으로 보내는 것 ※ 출처: 보건복지부 고시 제2020-242호(행위),
227,전문병원,특정 진료과목이나 특정 질환 등에 대하여 난이도가 높은 의료행위를 하는 병원급 의료기관 중 보건복지부장관이 심의를 통해 지정한 의료기관 ※ 출처:「의료법」제3조의5(전문병원 지정) ,
228,특수진료실,"요양기관에서 보유하고 있는 분만실, 신생아실, 수술실, 회복실, 응급실, 인공신장실, 물리치료실, 강내치료실, 방사선옥소, 낮병동, 조혈모세포처치실, 혈액은행, 임상검사실, 모자동실, 조제실, 탕전실  ※ 출처: 건강보험심사평가원 기능과 역할, 건강보험통계연보 용어정의",
229,가명정보,"개인정보를 가명처리*함으로써 원래의 상태로 복원하기 위한 추가정보의 사용·결합 없이는 특정 개인을 알아볼 수 없는 정보   *개인정보의 일부를 삭제하거나 일부 또는 전부를 대체하는 등의 방법으로 추가 정보가 없이는 특정 개인을 알아볼 수 없도록 처리하는 것 ※ 출처:「개인정보 보호법」제2조(정의), HIRA빅데이터개방포털",
230,보험자부담금,진료비 총액 중에서 보험자인 공단이 부담한 금액 ※ 출처: 건강보험통계연보 용어정의,
231,요양급여비용총액,"건강보험 요양급여에 소요된 총비용으로서 비급여·지정진료 등의 비용은 포함되지 않으며, 보험자인 공단과 환자 본인이 나누어 부담하는 요양급여비용 ※ 출처: 건강보험통계연보 용어정의",
232,요양급여일수,"입원 또는 내원일수에 투약일수(의료기관의 경우 원내투약일수)를 산입하여 산정하되, 입원 또는 내원일수와 투약일수가 중복될 경우에는 1일로 계산한 일수 ※ 출처: 요양급여비용 청구방법, 심사청구서·명세서서식 및 작성요령",
233,입내원일수,진료비청구명세서상에 기재된 환자가 실제로 요양기관에 방문 또는 입원한 일수 ※ 출처: 건강보험통계연보 용어정의,
234,KCD,"Korea Standard Classification of Disease  (동의어) 한국표준질병사인분류. 의무기록자료, 사망원인통계조사 등 질병이환 및 사망자료를 그 성질의 유사성에 따라 체계적으로 유형화한 것 ※ 출처: 통계청 발간 한국표준질병·사인분류 2020",
235,비위면직자,"공직자가 재직 중 직무와 관련된 부패행위로 당연퇴직, 파면 또는 해임된 자. 공직자였던 자가 재직 중 직무와 관련된 부패행위로 벌금 300만원 이상의 형의 선고를 받은 자  ※ 출처:「부패 방지 및 국민권익위원회의 설치와 운영에 관한 법률」 제82조제1항",
